segment_id,county,region,product_program,market_lane,occupancy_type,wildfire_tier,policy_count,total_insured_value,annual_premium,technical_premium,attritional_loss_ratio,cat_loss_ratio,expected_loss_ratio,reinsurance_load,expense_ratio,commission_ratio,expected_combined_ratio,profit_margin,capacity_limit,capacity_used,mitigation_credit,agent_count,agent_readiness,rate_adequacy,renewal_retention,new_business_index,filing_status,guideline_state,recommended_action,owner,priority_score,decision_lane
CAT-017,Marin,Bay Area wildland edge,Admitted HO-3 renewal,Admitted,Primary,High,239,212356280,1298845.4,1352446.45,0.2278,0.3224,0.5502,0.1246,0.261,0.115,1.0509,-0.0509,1514732.7,0.8575,0.0397,32,0.7292,1.0413,0.8306,126.7,Filing memo drafted,Needs agent practice update,Monitor with weekly guardrails,Operations,52.9,Watch
CAT-048,San Diego,Southern coastal canyon,Vacant home restricted form,E&S,Vacant,Moderate,128,94248320,1140094.08,1191006.21,0.2508,0.2912,0.5419,0.0826,0.3092,0.13,1.0638,-0.0638,1468024.59,0.7766,0.0993,25,0.7166,1.0447,0.8521,124.2,No filing required,Ready for launch,Reset deductible and wording,Product,51.5,Watch
CAT-005,El Dorado,Sierra foothills,Admitted HO-3 renewal,Admitted,Primary,High,326,236848780,1403595.3,1494381.89,0.2517,0.3276,0.5794,0.1336,0.2563,0.115,1.0842,-0.0842,1654986.24,0.8481,0.1299,11,0.7943,1.0647,0.7133,147.4,Filing memo drafted,Needs underwriting signoff,Tighten underwriting guideline,Product,50.8,Watch
CAT-043,San Bernardino,Mountain metro edge,Secondary home package,E&S,Secondary,High,194,174190660,1698187.44,1703281.99,0.2708,0.2889,0.5597,0.115,0.2734,0.13,1.0781,-0.0781,2271750.67,0.7475,0.0767,14,0.7921,1.003,0.7866,107.9,Actuarial support needed,Needs underwriting signoff,Tighten underwriting guideline,Product,49.2,Watch
CAT-018,Marin,Bay Area wildland edge,E&S wildfire endorsement,E&S,Primary,High,104,85828392,700536.48,753494.99,0.2402,0.3027,0.5429,0.1242,0.267,0.13,1.064,-0.064,869705.24,0.8055,0.1169,8,0.7423,1.0756,0.8288,100.4,No filing required,Needs agent practice update,Tighten underwriting guideline,Pricing,49.1,Watch
CAT-050,Santa Barbara,Central coast canyon,E&S wildfire endorsement,E&S,Primary,High,334,253756166,2098786.07,2150374.03,0.2714,0.2766,0.548,0.1239,0.2829,0.13,1.0848,-0.0848,2661754.31,0.7885,0.0793,23,0.7962,1.0246,0.8093,113.6,No filing required,Ready for launch,Tighten underwriting guideline,Pricing,48.5,Watch
CAT-029,Nevada,Sierra foothills,Admitted HO-3 renewal,Admitted,Primary,Severe,253,202978358,1354566.46,1479347.51,0.2249,0.357,0.5819,0.1612,0.2374,0.115,1.0955,-0.0955,1920184.19,0.7054,0.1146,34,0.8931,1.0921,0.668,111.0,Actuarial support needed,Needs underwriting signoff,Tighten underwriting guideline,Underwriting,48.1,Watch
CAT-033,Placer,Sierra foothills,Admitted HO-3 renewal,Admitted,Primary,High,437,342795473,2110879.68,2154710.3,0.2671,0.3005,0.5676,0.135,0.2581,0.115,1.0756,-0.0756,2828314.26,0.7463,0.02,33,0.6297,1.0208,0.7528,116.1,Filing memo drafted,Ready for launch,Tighten underwriting guideline,Product,47.6,Fix first
CAT-058,Sonoma,Wine country,E&S wildfire endorsement,E&S,Primary,High,274,164448224,1356737.1,1326642.58,0.2633,0.3039,0.5673,0.1141,0.2789,0.13,1.0903,-0.0903,1837405.43,0.7384,0.0864,11,0.6801,0.9778,0.7937,118.7,Compliance review,Needs underwriting signoff,File rate or tighten eligibility,Product,45.8,Fix first
CAT-035,Placer,Sierra foothills,Secondary home package,E&S,Secondary,High,134,93259980,917815.64,1027530.22,0.2639,0.3093,0.5732,0.1366,0.2856,0.13,1.1255,-0.1255,1371357.61,0.6693,0.0495,21,0.8836,1.1195,0.7506,128.9,Actuarial support needed,Needs agent practice update,Tighten underwriting guideline,Pricing,45.6,Fix first
CAT-021,Mendocino,North Coast range,Admitted HO-3 renewal,Admitted,Primary,High,103,66296362,390834.26,439167.9,0.288,0.3244,0.6124,0.1334,0.2505,0.115,1.1112,-0.1112,444381.99,0.8795,0.1446,14,0.852,1.1237,0.7973,149.1,No filing required,Needs wording review,Tighten underwriting guideline,Pricing,45.5,Fix first
CAT-025,Napa,Wine country,Admitted HO-3 renewal,Admitted,Primary,High,280,227862880,1390128.1,1439454.32,0.2291,0.3568,0.5858,0.1171,0.2543,0.115,1.0722,-0.0722,1474758.35,0.9426,0.0471,35,0.6052,1.0355,0.7533,110.8,No filing required,Ready for launch,Tighten underwriting guideline,Pricing,45.5,Fix first
CAT-039,Riverside,Inland wildland edge,Secondary home package,E&S,Secondary,Moderate,100,96972000,884008.82,950048.79,0.2481,0.3356,0.5837,0.0967,0.2869,0.13,1.0973,-0.0973,1316626.81,0.6714,0.0297,24,0.7375,1.0747,0.9159,124.3,Compliance review,Ready for launch,Tighten underwriting guideline,Underwriting,45.0,Fix first
CAT-063,Ventura,Southern coastal canyon,Secondary home package,E&S,Secondary,Moderate,124,83237232,746443.46,785194.42,0.3203,0.3136,0.6338,0.0959,0.2832,0.13,1.1429,-0.1429,835933.26,0.8929,0.0771,8,0.9252,1.0519,0.8811,134.4,Compliance review,Needs agent practice update,Tighten underwriting guideline,Distribution,44.2,Fix first
CAT-002,Butte,Sierra foothills,E&S wildfire endorsement,E&S,Primary,Severe,352,246602048,2246096.75,2350238.23,0.2426,0.4032,0.6458,0.1545,0.2757,0.13,1.206,-0.206,2705408.03,0.8302,0.1272,12,0.9586,1.0464,0.8011,112.1,No filing required,Ready for launch,Tighten underwriting guideline,Distribution,43.7,Fix first
CAT-023,Mendocino,North Coast range,Secondary home package,E&S,Secondary,High,109,79012247,761498.04,788174.91,0.3008,0.2886,0.5894,0.1232,0.279,0.13,1.1216,-0.1216,1170875.58,0.6504,0.1094,17,0.6995,1.035,0.8573,110.5,No filing required,Needs wording review,Tighten underwriting guideline,Distribution,42.4,Fix first
CAT-008,El Dorado,Sierra foothills,Vacant home restricted form,E&S,Vacant,High,72,66315456,879127.23,903593.19,0.2745,0.3135,0.5879,0.1302,0.3146,0.13,1.1628,-0.1628,1376169.77,0.6388,0.0759,11,0.7565,1.0278,0.7068,114.6,Actuarial support needed,Needs agent practice update,Reset deductible and wording,Underwriting,41.9,Fix first
CAT-054,Shasta,Northern interior,E&S wildfire endorsement,E&S,Primary,Severe,263,234786412,2142760.12,2289725.56,0.2174,0.3819,0.5993,0.1636,0.273,0.13,1.1659,-0.1659,3121345.37,0.6865,0.1216,18,0.591,1.0686,0.6807,112.9,No filing required,Needs underwriting signoff,Tighten underwriting guideline,Underwriting,41.0,Fix first
CAT-040,Riverside,Inland wildland edge,Vacant home restricted form,E&S,Vacant,Moderate,136,127203928,1556248.59,1609827.4,0.3472,0.2777,0.6249,0.0809,0.3169,0.13,1.1528,-0.1528,1925042.46,0.8084,0.067,25,0.735,1.0344,0.723,108.7,No filing required,Needs agent practice update,Reset deductible and wording,Product,40.9,Fix first
CAT-003,Butte,Sierra foothills,Secondary home package,E&S,Secondary,Severe,212,153421220,1661619.8,1763242.44,0.202,0.4871,0.6891,0.1606,0.2896,0.13,1.2693,-0.2693,2477957.71,0.6706,0.0999,25,0.8312,1.0612,0.6963,118.2,Actuarial support needed,Needs agent practice update,Tighten underwriting guideline,Operations,40.5,Fix first
CAT-027,Napa,Wine country,Secondary home package,E&S,Secondary,High,92,83509044,822400.39,914289.88,0.24,0.349,0.589,0.1159,0.2966,0.13,1.1315,-0.1315,1131182.14,0.727,0.0476,16,0.6546,1.1117,0.7565,116.1,Compliance review,Needs agent practice update,Tighten underwriting guideline,Product,40.5,Fix first
CAT-001,Butte,Sierra foothills,Admitted HO-3 renewal,Admitted,Primary,Severe,348,223892412,1497765.33,1509666.31,0.2594,0.4045,0.6639,0.1689,0.2598,0.115,1.2076,-0.2076,1655342.51,0.9048,0.1077,23,0.8035,1.0079,0.7462,118.4,Filing memo drafted,Needs underwriting signoff,Tighten underwriting guideline,Pricing,40.4,Fix first
CAT-026,Napa,Wine country,E&S wildfire endorsement,E&S,Primary,High,290,264396480,2226048.08,2278061.16,0.2872,0.3203,0.6076,0.1187,0.2753,0.13,1.1315,-0.1315,2825407.52,0.7879,0.0279,15,0.6298,1.0234,0.697,108.5,Actuarial support needed,Needs wording review,Tighten underwriting guideline,Pricing,40.4,Fix first
CAT-024,Mendocino,North Coast range,Vacant home restricted form,E&S,Vacant,High,71,54606171,720952.85,777945.54,0.2003,0.421,0.6213,0.1363,0.2965,0.13,1.1841,-0.1841,1128008.83,0.6391,0.0876,11,0.8661,1.0791,0.5645,87.8,No filing required,Needs underwriting signoff,Reset deductible and wording,Underwriting,40.3,Fix first
CAT-022,Mendocino,North Coast range,E&S wildfire endorsement,E&S,Primary,High,156,120186924,1007083.23,1110429.87,0.2817,0.3549,0.6366,0.1143,0.2909,0.13,1.1718,-0.1718,1520287.77,0.6624,0.0418,11,0.692,1.1026,0.7515,107.6,Actuarial support needed,Needs wording review,Tighten underwriting guideline,Operations,39.6,Fix first
CAT-009,Lake,North Coast range,Admitted HO-3 renewal,Admitted,Primary,Severe,155,103095305,699973.0,792435.9,0.2698,0.4644,0.7342,0.1757,0.251,0.115,1.2759,-0.2759,919817.0,0.761,0.0654,13,0.9454,1.1321,0.678,119.7,No filing required,Needs agent practice update,Tighten underwriting guideline,Operations,39.4,Fix first
CAT-019,Marin,Bay Area wildland edge,Secondary home package,E&S,Secondary,High,205,190213555,1885334.24,2006528.03,0.2456,0.4069,0.6525,0.1129,0.2993,0.13,1.1948,-0.1948,2257729.76,0.8351,0.0289,9,0.7572,1.0643,0.6994,108.8,No filing required,Needs underwriting signoff,Tighten underwriting guideline,Distribution,39.3,Fix first
CAT-053,Shasta,Northern interior,Admitted HO-3 renewal,Admitted,Primary,Severe,237,198598416,1329384.44,1414086.25,0.2518,0.375,0.6268,0.1758,0.2482,0.115,1.1659,-0.1659,2017008.08,0.6591,0.106,12,0.731,1.0637,0.862,76.9,Filing memo drafted,Needs agent practice update,Tighten underwriting guideline,Product,39.3,Fix first
CAT-064,Ventura,Southern coastal canyon,Vacant home restricted form,E&S,Vacant,Moderate,91,57543304,711404.87,785686.88,0.3232,0.3196,0.6429,0.0938,0.3132,0.13,1.1799,-0.1799,970335.79,0.7332,0.0367,26,0.7108,1.1044,0.7712,115.2,No filing required,Ready for launch,Reset deductible and wording,Distribution,39.0,Fix first
CAT-030,Nevada,Sierra foothills,E&S wildfire endorsement,E&S,Primary,Severe,408,291985608,2726973.54,3070490.13,0.2685,0.3824,0.6509,0.1649,0.2798,0.13,1.2256,-0.2256,3340528.78,0.8163,0.0558,20,0.797,1.126,0.6552,92.4,Filing memo drafted,Needs agent practice update,Tighten underwriting guideline,Underwriting,38.6,Fix first
CAT-059,Sonoma,Wine country,Secondary home package,E&S,Secondary,High,201,132666834,1289357.91,1351410.82,0.3046,0.3775,0.6821,0.1352,0.287,0.13,1.2342,-0.2342,1559566.67,0.8267,0.0856,23,0.819,1.0481,0.8033,101.0,Actuarial support needed,Needs wording review,Tighten underwriting guideline,Product,38.4,Fix first
CAT-036,Placer,Sierra foothills,Vacant home restricted form,E&S,Vacant,High,33,23583351,312195.21,313410.06,0.3,0.3238,0.6237,0.1287,0.3099,0.13,1.1924,-0.1924,366311.61,0.8523,0.08,28,0.7073,1.0039,0.7374,129.3,Filing memo drafted,Needs agent practice update,Reset deductible and wording,Pricing,37.9,Fix first
CAT-060,Sonoma,Wine country,Vacant home restricted form,E&S,Vacant,High,77,53087419,693323.68,790315.16,0.2901,0.377,0.667,0.1201,0.3019,0.13,1.2189,-0.2189,987033.01,0.7024,0.1184,6,0.6622,1.1399,0.8416,109.8,No filing required,Needs underwriting signoff,Reset deductible and wording,Pricing,37.8,Fix first
CAT-052,Santa Barbara,Central coast canyon,Vacant home restricted form,E&S,Vacant,High,125,88807500,1182399.75,1289599.75,0.2778,0.3511,0.629,0.1163,0.3182,0.13,1.1935,-0.1935,1323105.06,0.8937,0.0635,9,0.7154,1.0907,0.7157,104.6,Compliance review,Needs wording review,Reset deductible and wording,Pricing,37.7,Fix first
CAT-004,Butte,Sierra foothills,Vacant home restricted form,E&S,Vacant,Severe,67,42742851,630970.64,652815.77,0.2165,0.4021,0.6185,0.1599,0.3131,0.13,1.2216,-0.2216,899099.45,0.7018,0.0924,27,0.7547,1.0346,0.6826,98.4,No filing required,Needs underwriting signoff,Reset deductible and wording,Product,37.6,Fix first
CAT-007,El Dorado,Sierra foothills,Secondary home package,E&S,Secondary,High,71,43288842,419626.02,418449.79,0.2396,0.3677,0.6073,0.1267,0.2845,0.13,1.1485,-0.1485,574829.74,0.73,0.093,20,0.4982,0.9972,0.7061,116.6,Actuarial support needed,Needs underwriting signoff,Tighten underwriting guideline,Underwriting,37.2,Fix first
CAT-010,Lake,North Coast range,E&S wildfire endorsement,E&S,Primary,Severe,150,145309500,1358014.43,1429470.94,0.3087,0.4415,0.7502,0.1536,0.2773,0.13,1.311,-0.311,1827748.72,0.743,0.0539,14,0.8312,1.0526,0.6458,109.2,Compliance review,Needs agent practice update,Tighten underwriting guideline,Pricing,36.7,Fix first
CAT-044,San Bernardino,Mountain metro edge,Vacant home restricted form,E&S,Vacant,High,31,27465194,353271.02,359749.19,0.2483,0.4244,0.6727,0.1171,0.3189,0.13,1.2386,-0.2386,395425.19,0.8934,0.1611,8,0.7122,1.0183,0.7177,121.7,Actuarial support needed,Ready for launch,Reset deductible and wording,Product,36.7,Fix first
CAT-012,Lake,North Coast range,Vacant home restricted form,E&S,Vacant,Severe,33,25021887,371272.27,364606.35,0.2839,0.435,0.7189,0.1537,0.3211,0.13,1.3236,-0.3236,503795.08,0.737,0.0778,21,0.8483,0.982,0.7435,131.1,Filing memo drafted,Ready for launch,Reset deductible and wording,Pricing,36.3,Fix first
CAT-020,Marin,Bay Area wildland edge,Vacant home restricted form,E&S,Vacant,High,108,90842148,1192639.0,1207774.32,0.2895,0.3997,0.6891,0.1332,0.2943,0.13,1.2467,-0.2467,1471059.85,0.8107,0.1036,10,0.6824,1.0127,0.7045,101.5,Actuarial support needed,Needs underwriting signoff,Reset deductible and wording,Underwriting,36.3,Fix first
CAT-031,Nevada,Sierra foothills,Secondary home package,E&S,Secondary,Severe,85,82865565,895959.41,983586.08,0.2257,0.474,0.6997,0.1578,0.2963,0.13,1.2838,-0.2838,1175490.19,0.7622,0.1047,13,0.7538,1.0978,0.7678,106.2,No filing required,Needs underwriting signoff,Tighten underwriting guideline,Product,36.3,Fix first
CAT-011,Lake,North Coast range,Secondary home package,E&S,Secondary,Severe,99,94920210,1050856.3,1135428.45,0.3608,0.4299,0.7907,0.1645,0.2766,0.13,1.3618,-0.3618,1236692.48,0.8497,0.0368,16,0.886,1.0805,0.7517,111.4,Actuarial support needed,Ready for launch,Tighten underwriting guideline,Product,34.3,Fix first
CAT-032,Nevada,Sierra foothills,Vacant home restricted form,E&S,Vacant,Severe,63,49506660,727035.17,790993.52,0.2766,0.4564,0.733,0.1652,0.3055,0.13,1.3337,-0.3337,848852.73,0.8565,0.1072,19,0.6649,1.088,0.6478,126.5,Compliance review,Ready for launch,Reset deductible and wording,Distribution,33.8,Fix first
CAT-055,Shasta,Northern interior,Secondary home package,E&S,Secondary,Severe,104,83237856,890148.29,970162.6,0.2707,0.4815,0.7522,0.1608,0.2929,0.13,1.3359,-0.3359,1323462.44,0.6726,0.1357,10,0.7325,1.0899,0.7406,87.6,Compliance review,Needs agent practice update,Tighten underwriting guideline,Underwriting,33.7,Fix first
CAT-028,Napa,Wine country,Vacant home restricted form,E&S,Vacant,High,41,30085185,392890.6,415531.64,0.2588,0.4736,0.7324,0.131,0.3132,0.13,1.3066,-0.3066,462358.82,0.8498,0.1186,12,0.633,1.0576,0.7529,115.9,Compliance review,Needs underwriting signoff,Reset deductible and wording,Pricing,32.7,Fix first
CAT-056,Shasta,Northern interior,Vacant home restricted form,E&S,Vacant,Severe,109,89877149,1332868.52,1296360.04,0.3237,0.6034,0.9271,0.1521,0.3164,0.13,1.5257,-0.5257,1596525.7,0.8349,0.0793,25,0.8592,0.9726,0.7043,87.3,Compliance review,Needs agent practice update,File rate or tighten eligibility,Distribution,26.8,Fix first
